RockCat_Studio_Limited ROCKCAT_STUDIO_LIMITED
Cengage_Learning 圣智学习（北京）教育科技有限公司
Haylou_Sport Haylou_Sport
Learn_English_–_NGLearning Learn_English
紧急按钮应用程序-防盗，家庭保护_🚨 Hammer_Security_-_Panic_Button,_Family_SOS,_Safety_Alert
FBReader：最受喜爱的书籍阅读器 FBReader
Hband 张家福
Medidata_Solutions 美谛达信息技术（上海）有限公司
Candy_Camera_-_自拍，美容相机，照片编辑器 Candy_Camera
Adsmart_Baolun_Technology_Ltd. 广州先越宝仑电子科技有限公司
TapTapTales 广州网易计算机系统有限公司
KLOOK客路旅行_-_自由行全球玩乐必备神器 KLOOK客路旅行
Kelyn_Le_Studio Kelyn_Le_Studio
Thai_Airways_International THAI_AIRWAYS_INTERNATIONAL_PUBLIC_COMPANY_LIMITED
Magisto_视频编辑：影片编辑器、视频剪辑器、幻灯片制作 Magisto视频剪辑
ServiceChannel 北京佳友商贸有限公司
Intelligent_Home_Center 智慧星
Jinhua_show_Mdt_InfoTech_Ltd 金华手速信息科技有限公司
MX_Media_(formerly_J2_Interactive) MX_Media_&_Entertainment_Pte._Ltd.
Bang_&_Olufsen_a/s Bang_&_Olufsen
Microsoft_Teams Teams
碰碰狐鲨鱼宝宝故事书 碰碰狐鲨鱼宝宝故事书
比心陪练-大神陪你打游戏 比心陪练
Crown_Heart_Photo_Editor Crown_Heart_Photo_Editor
DiDi_–_Greater_China 滴滴出行
mCube_Inc. 矽立电子科技（上海）有限公司
分动 分动
拼多多 拼多多
支付宝 支付宝
weico 新浪网技术（中国）有限公司
ADP,_INC. 安德普翰人力资源服务（上海）有限公司
Magisto_by_Vimeo 
World_Economic_Forum_TopLink World_Economic_Forum_TopLink
右糖-_电子相册制作神器 右糖
Acfreedom 奥克斯空调股份有限公司
JQ_Soft JQ_Soft
Pulse_-_专为Booking.com合作伙伴定制 Pulse
KineMaster_Corporation 深圳巧影科技有限公司
论客科技（广州）有限公司 盈世信息科技（北京）有限公司
QNAP 威联通科技股份有限公司
FilmoraGo_-_Video_Editor,_Video_Maker_For_YouTube 视频编辑器:FilmoraGo
Lemi_Network_Technology_Co.,Ltd 杭州乐米网络科技有限公司
Booking.com缤客_-_全球酒店预订 Booking.com缤客
9292 Reisinformatiegroep_B.V.
Mastercard_Airport_Experiences Mastercard_Airport_Experiences
Inventory_Management_App_–_Zoho_Inventory Zoho_Inventory
宝宝飞行员 宝宝飞行员
快牙网传版 快牙网传
Nike_Run_Club Nike⁠_Run_Club
Perfect_Win_Game 广州成清科技有限公司
Apowersoft 深圳市网旭科技有限公司
Go_Travel_Un_Limited GO_TRAVEL_UN_LIMITED
廉价航班_-_FareFirst FareFirst
BarbaLoong_Games 成都巴巴龙网络科技有限责任公司
Google_翻译 翻译
FlashCard_单词书：学习更快更容易 FlashCard
P6SLite P6SLite
默沙东诊疗中文专业版 MSD_Manual_Pro
Yeelink 青岛亿联客信息技术有限公司
AirVisual|全球空气质量预测|PM2.5雾霾_AQI AirVisual
YOUYU_SMART_TECHNOLOGIES_LIMITED 深圳市有鱼智能科技有限公司
Youku 优酷信息技术（北京）有限公司
企鹅FM 企鹅FM
Zoho_CRM_-_Sales_&_Marketing Zoho_CRM
SeaTalk SeaTalk
Dell_Mobile_Connect Dell_Mobile_Connect
Japan_National_Tourism_Organization 独立行政法人国際観光振興機構
Dr._Panda 成都跃趣软件有限公司
Share微博客户端 Share微博
Beauty__Inc 美人信息
Inmotion 深圳乐行天下科技有限公司
Overbees 亚堂科技（上海）有限公司
手机淘宝 手机淘宝
Meitu_(China)_Limited 厦门美图网科技有限公司
Faith 陈征
熊猫博士小镇:_商场 小镇商场-熊猫博士
DWG_FastView-CAD看图王 CAD看图王
Eggplant_Technologies_Ltd 广州市迅茄软件科技有限公司
Pomodoro_Timer_&_To_Do_List_-_SuperElement_Soft 深圳市番茄软件科技有限公司
迈特喜出行_-_全球网约车 迈特喜出行
DS_Software_|_📡 内蒙古融善胜网络科技有限责任公司
英汉字典_EC_Dictionary 英汉字典
AUTO_BEEB DEVELOPMENT_COMPANY_FOR_MARKETING_AND_COMMERCIAL_SERVICES
TrainingPeaks TrainingPeaks
Fitdays Fitdays
Microsoft_Power_BI_-_业务数据分析 Power_BI
InstantBits_Inc InstantBits_Inc
去哪儿旅行-机票.酒店.火车票.汽车票.旅游.门票 去哪儿旅行
ViTrack ViTrack
Velocious_Technologies_Inc. 
Face_Animator_-_Photo_Deformer Photo_Deformer
MiniShare_-_Mini_Size_File_Transfer_App 快牙精简版
Smart_Lock 杭州赛脑智能控制技术有限公司
mu.co Motomura_Toshiki
BabyBus 深圳市晔少网络科技有限公司
Nox_Limited 北京多点在线科技有限公司
DayDay_Band 天天手环
ADP_Mobile_Solutions ADPMobile
Gstarsoft_Co.,_Ltd. 苏州浩辰软件股份有限公司
Writer_- Create_Docs,_Share Writer
Rentcars.com:_Car_rental Rentcars.com:_Car_Rental
IU_International_Dating 北京悦缘科技有限公司
Selfridges_Retail_Ltd 北京佳友商贸有限公司
Yeastar_Technology_Co.,_Ltd. 厦门朗视信息科技有限公司
掌上火车票12306抢票 掌上火车票
Notta_-_录音转文字效率工具、语音识别、智能录音、会议笔记、课堂笔记、语音转文字，转写，语记 Notta录音转文字
China_Train_Booking China_Train_Booking
极简待办 极简待办
Xodo_Technologies_Inc. Xodo_Technologies_Inc.
超级视频编辑器_-_免费高清视频剪辑+无水印影片剪接制作软件 91视频编辑器
Louis_Vuitton_Malletier Louis_Vuitton_Malletier
HiCare 服务
Microsoft_Outlook Outlook
World_of_Hyatt 凯悦酒店
QingNiu 深圳市轻牛软件有限公司
